,,,,,,,,,,,,,,,,,,,,,
Location,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
            Yemen,   4 115,   3 918,   3 549,   3 202,   2 925,   2 808,   2 329,   1 811,   1 362,   1 001,773,650,509,370,259,144,69,24,6,1,0
      Central and Southern Asia,   185 077,   182 907,   187 491,   184 164,   178 534,   171 785,   163 854,   149 206,   128 921,   111 823,   97 195,   83 084,   67 032,   50 794,   33 022,   21 088,   11 943,   5 014,   1 419,299,57
         Central Asia,   8 130,   7 892,   6 632,   5 448,   5 692,   6 569,   6 572,   5 362,   4 502,   3 982,   3 498,   3 428,   2 647,   1 818,889,568,474,169,59,9,1
            Kazakhstan,   1 920,   1 948,   1 604,   1 117,   1 100,   1 473,   1 658,   1 336,   1 184,   1 103,978,   1 062,811,628,320,233,216,62,23,3,0
            Kyrgyzstan,760,769,601,500,514,569,572,443,361,325,296,285,220,144,79,33,33,16,4,1,0
            Tajikistan,   1 357,   1 221,977,811,834,815,786,604,473,410,372,329,246,142,78,40,30,10,3,0,0
            Turkmenistan,661,672,524,485,462,548,525,433,378,319,284,252,201,133,69,35,33,13,5,1,0
            Uzbekistan,   3 432,   3 282,   2 925,   2 535,   2 782,   3 165,   3 030,   2 547,   2 105,   1 825,   1 569,   1 500,   1 168,771,344,228,164,68,24,4,0
         Southern Asia,   176 947,   175 016,   180 859,   178 716,   172 842,   165 216,   157 283,   143 844,   124 419,   107 841,   93 696,   79 657,   64 385,   48 976,   32 133,   20 521,   11 468,   4 846,   1 360,290,56
            Afghanistan,   5 673,   5 416,   5 192,   4 629,   3 926,   3 109,   2 478,   2 056,   1 659,   1 305,   1 032,808,613,445,312,168,76,24,5,1,0
            Bangladesh,   14 328,   14 644,   15 089,   15 585,   15 239,   14 526,   13 763,   12 749,   11 225,   9 426,   8 305,   6 701,   4 500,   2 796,   2 357,   1 739,   1 021,483,167,39,6
            Bhutan,64,62,66,70,74,79,76,63,50,39,33,26,21,16,13,9,6,3,1,0,0
            India,   116 880,   117 982,   126 156,   126 046,   122 505,   117 397,   112 176,   103 460,   90 220,   79 440,   68 876,   59 256,   48 891,   38 260,   24 091,   15 084,   8 489,   3 531,993,223,48
            Iran,   7 638,   6 928,   6 218,   5 530,   5 556,   6 787,   8 467,   8 273,   6 491,   5 164,   4 618,   3 677,   3 132,   2 265,   1 448,907,552,277,57,8,1
            Maldives,36,37,33,26,51,89,83,55,37,28,20,15,12,7,4,4,3,1,0,0,0
            Nepal,   2 707,   2 756,   2 931,   3 189,   3 222,   2 665,   2 069,   1 723,   1 597,   1 449,   1 263,   1 044,823,665,474,338,153,54,13,2,0
            Pakistan,   27 963,   25 499,   23 452,   21 976,   20 772,   19 158,   16 818,   13 998,   11 616,   9 633,   8 231,   6 892,   5 279,   3 623,   2 706,   1 853,962,365,85,11,1
            Sri Lanka,   1 660,   1 690,   1 722,   1 665,   1 496,   1 406,   1 352,   1 468,   1 524,   1 357,   1 317,   1 238,   1 114,899,727,419,208,106,38,7,1
      Eastern and South-Eastern Asia,   150 090,   154 894,   150 575,   149 141,   155 244,   166 006,   193 774,   166 530,   159 119,   182 024,   179 980,   148 159,   119 562,   107 098,   70 406,   44 366,   28 373,   14 557,   5 313,   1 296,204
         Eastern Asia,   94 139,   97 816,   95 357,   94 118,   100 453,   112 060,   143 197,   116 175,   113 089,   138 863,   141 151,   114 957,   92 673,   87 842,   58 124,   36 524,   23 549,   12 260,   4 487,   1 091,166
            China,   83 932,   86 735,   84 263,   82 342,   87 158,   97 989,   128 739,   100 091,   96 274,   119 838,   123 445,   98 740,   77 514,   74 150,   44 950,   26 545,   16 181,   7 582,   2 305,475,75
"            China, Hong Kong SAR",363,302,286,267,374,493,536,586,566,564,569,639,589,460,344,181,178,120,60,18,4
"            China, Macao SAR",36,33,24,22,36,52,68,62,44,49,47,53,45,34,21,9,7,4,2,1,0
