Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Italy,43,12,4/10/2020,18849,ITA,150,39,
,Italy,43,12,4/9/2020,18279,ITA,150,39,
,Italy,43,12,4/8/2020,17669,ITA,150,39,
,Italy,43,12,4/7/2020,17127,ITA,150,39,
,Italy,43,12,4/6/2020,16523,ITA,150,39,
,Italy,43,12,4/5/2020,15887,ITA,150,39,
,Italy,43,12,4/4/2020,15362,ITA,150,39,
,Italy,43,12,4/3/2020,14681,ITA,150,39,
,Italy,43,12,4/2/2020,13915,ITA,150,39,
,Italy,43,12,4/1/2020,13155,ITA,150,39,
,Italy,43,12,3/31/2020,12428,ITA,150,39,
,Italy,43,12,3/30/2020,11591,ITA,150,39,
,Italy,43,12,3/29/2020,10779,ITA,150,39,
,Italy,43,12,3/28/2020,10023,ITA,150,39,
,Italy,43,12,3/27/2020,9134,ITA,150,39,
,Italy,43,12,3/26/2020,8215,ITA,150,39,
,Italy,43,12,3/25/2020,7503,ITA,150,39,
,Italy,43,12,3/24/2020,6820,ITA,150,39,
,Italy,43,12,3/23/2020,6077,ITA,150,39,
,Italy,43,12,3/22/2020,5476,ITA,150,39,
,Italy,43,12,3/21/2020,4825,ITA,150,39,
,Italy,43,12,3/20/2020,4032,ITA,150,39,
,Italy,43,12,3/19/2020,3405,ITA,150,39,
,Italy,43,12,3/18/2020,2978,ITA,150,39,
,Italy,43,12,3/17/2020,2503,ITA,150,39,
,Italy,43,12,3/16/2020,2158,ITA,150,39,
,Italy,43,12,3/15/2020,1809,ITA,150,39,
,Italy,43,12,3/14/2020,1441,ITA,150,39,
,Italy,43,12,3/13/2020,1266,ITA,150,39,
,Italy,43,12,3/12/2020,827,ITA,150,39,
,Italy,43,12,3/11/2020,827,ITA,150,39,
,Italy,43,12,3/10/2020,631,ITA,150,39,
,Italy,43,12,3/9/2020,463,ITA,150,39,
,Italy,43,12,3/8/2020,366,ITA,150,39,
,Italy,43,12,3/7/2020,233,ITA,150,39,
,Italy,43,12,3/6/2020,197,ITA,150,39,
,Italy,43,12,3/5/2020,148,ITA,150,39,
,Italy,43,12,3/4/2020,107,ITA,150,39,
,Italy,43,12,3/3/2020,79,ITA,150,39,
,Italy,43,12,3/2/2020,52,ITA,150,39,
,Italy,43,12,3/1/2020,34,ITA,150,39,
,Italy,43,12,2/29/2020,29,ITA,150,39,
,Italy,43,12,2/28/2020,21,ITA,150,39,
,Italy,43,12,2/27/2020,17,ITA,150,39,
,Italy,43,12,2/26/2020,12,ITA,150,39,
,Italy,43,12,2/25/2020,10,ITA,150,39,
,Italy,43,12,2/24/2020,7,ITA,150,39,
,Italy,43,12,2/23/2020,3,ITA,150,39,
,Italy,43,12,2/22/2020,2,ITA,150,39,
,Italy,43,12,2/21/2020,1,ITA,150,39,
,Italy,43,12,2/20/2020,0,ITA,150,39,
,Italy,43,12,2/19/2020,0,ITA,150,39,
,Italy,43,12,2/18/2020,0,ITA,150,39,
,Italy,43,12,2/17/2020,0,ITA,150,39,
,Italy,43,12,2/16/2020,0,ITA,150,39,
,Italy,43,12,2/15/2020,0,ITA,150,39,
,Italy,43,12,2/14/2020,0,ITA,150,39,
,Italy,43,12,2/13/2020,0,ITA,150,39,
,Italy,43,12,2/12/2020,0,ITA,150,39,
,Italy,43,12,2/11/2020,0,ITA,150,39,
,Italy,43,12,2/10/2020,0,ITA,150,39,
,Italy,43,12,2/9/2020,0,ITA,150,39,
,Italy,43,12,2/8/2020,0,ITA,150,39,
,Italy,43,12,2/7/2020,0,ITA,150,39,
,Italy,43,12,2/6/2020,0,ITA,150,39,
,Italy,43,12,2/5/2020,0,ITA,150,39,
,Italy,43,12,2/4/2020,0,ITA,150,39,
,Italy,43,12,2/3/2020,0,ITA,150,39,
,Italy,43,12,2/2/2020,0,ITA,150,39,
,Italy,43,12,2/1/2020,0,ITA,150,39,
,Italy,43,12,1/31/2020,0,ITA,150,39,
,Italy,43,12,1/30/2020,0,ITA,150,39,
,Italy,43,12,1/29/2020,0,ITA,150,39,
,Italy,43,12,1/28/2020,0,ITA,150,39,
,Italy,43,12,1/27/2020,0,ITA,150,39,
,Italy,43,12,1/26/2020,0,ITA,150,39,
,Italy,43,12,1/25/2020,0,ITA,150,39,
,Italy,43,12,1/24/2020,0,ITA,150,39,
,Italy,43,12,1/23/2020,0,ITA,150,39,
,Italy,43,12,1/22/2020,0,ITA,150,39,
